Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0.391,0.763188,0.136768,0.563714,-0.284719,-76.200333,150.125397,-46.934914,-0.7209,-0.089895,-0.151462,0.670284,-75.485298,116.695908,-43.235077,-0.74866,-0.183154,-0.129817,0.623787,-73.046646,94.25882,-39.294575,0.950201,0.216273,0.138599,-0.176451,-14.154363,155.551132,75.760025,0.43997,-0.364413,0.243789,0.783707,-19.104614,124.90387,90.415489,0.55776,-0.320641,0.132171,0.754072,-26.100006,100.250748,93.008263
0.4,0.764047,0.135947,0.562664,-0.284886,-76.246056,150.079788,-46.87394,-0.720344,-0.089955,-0.150998,0.670979,-75.501099,116.641426,-43.252708,-0.747677,-0.184199,-0.129601,0.624702,-73.061745,94.196663,-39.348583,0.949691,0.218174,0.139696,-0.175989,-14.232659,155.56546,75.723495,0.439168,-0.36611,0.245778,0.782744,-19.207722,124.934837,90.389877,0.555827,-0.323166,0.133351,0.754213,-26.201073,100.291153,92.969559
0.408,0.763539,0.135736,0.56237,-0.286922,-76.280365,150.047333,-46.830193,-0.719694,-0.089371,-0.150828,0.671792,-75.512238,116.600624,-43.26585,-0.74729,-0.184688,-0.129705,0.625,-73.064072,94.144554,-39.394794,0.949374,0.219276,0.141253,-0.175084,-14.295938,155.58049,75.698509,0.438371,-0.36757,0.247264,0.782038,-19.289391,124.959648,90.372017,0.555684,-0.324117,0.134837,0.753647,-26.27606,100.309517,92.940048
0.416,0.763713,0.135339,0.562113,-0.287149,-76.311783,150.011063,-46.792995,-0.719281,-0.088634,-0.150515,0.672402,-75.524452,116.561333,-43.269966,-0.746731,-0.184489,-0.129964,0.625673,-73.069138,94.097557,-39.443512,0.949087,0.220836,0.141862,-0.174187,-14.356707,155.593872,75.674316,0.437773,-0.368764,0.248812,0.78132,-19.365007,124.977097,90.350548,0.554689,-0.325467,0.137336,0.753346,-26.341394,100.318863,92.905411
0.425,0.763732,0.135398,0.561787,-0.28771,-76.338959,149.970245,-46.756527,-0.718989,-0.088138,-0.150515,0.672779,-75.526772,116.51963,-43.276253,-0.74568,-0.184878,-0.130147,0.626772,-73.064407,94.046654,-39.495438,0.948622,0.222738,0.142338,-0.173907,-14.426109,155.60498,75.653061,0.437656,-0.369737,0.249841,0.780596,-19.438978,124.998268,90.328186,0.555849,-0.326075,0.137738,0.752154,-26.43988,100.348068,92.863312
0.433,0.762622,0.135666,0.56228,-0.289558,-76.361557,149.937958,-46.738586,-0.718614,-0.087649,-0.150698,0.673202,-75.526405,116.485107,-43.283802,-0.744804,-0.185603,-0.130557,0.627514,-73.058167,94.001434,-39.540714,0.948458,0.22334,0.143364,-0.173188,-14.480573,155.619781,75.633003,0.437237,-0.370841,0.250751,0.780016,-19.509298,125.011917,90.305809,0.557505,-0.32565,0.139086,0.750863,-26.50176,100.363564,92.828194
0.441,0.762888,0.134947,0.561755,-0.290211,-76.384926,149.911362,-46.700169,-0.718316,-0.087841,-0.149768,0.673703,-75.519737,116.447403,-43.289028,-0.744223,-0.185589,-0.130522,0.628214,-73.04847,93.959061,-39.585106,0.948479,0.22325,0.143606,-0.172985,-14.530511,155.627136,75.60527,0.437055,-0.371583,0.251543,0.77951,-19.561859,125.028542,90.288963,0.558682,-0.326031,0.140041,0.749644,-26.557169,100.3685,92.801079
0.45,0.762357,0.134941,0.561016,-0.293025,-76.403656,149.889557,-46.663322,-0.718243,-0.08743,-0.149453,0.673904,-75.511292,116.413185,-43.298985,-0.743971,-0.185419,-0.130442,0.628579,-73.03717,93.917641,-39.624004,0.948477,0.222889,0.142899,-0.174045,-14.592319,155.638779,75.585121,0.436834,-0.372299,0.252424,0.779007,-19.615511,125.044205,90.271805,0.560133,-0.32611,0.140534,0.748434,-26.625246,100.375832,92.766037
0.458,0.762505,0.134567,0.561025,-0.292794,-76.417885,149.8638,-46.63253,-0.717758,-0.087056,-0.149559,0.674445,-75.50135,116.389427,-43.30489,-0.743595,-0.185582,-0.130379,0.628989,-73.023041,93.884369,-39.661057,0.948344,0.223554,0.142389,-0.174335,-14.647895,155.642532,75.564224,0.436963,-0.372212,0.252741,0.778873,-19.66334,125.05114,90.257278,0.561033,-0.325899,0.14088,0.747787,-26.671103,100.38327,92.737938
0.466,0.762748,0.134273,0.560812,-0.292704,-76.433655,149.833649,-46.607643,-0.717839,-0.087686,-0.14901,0.6744,-75.485596,116.354622,-43.316727,-0.742634,-0.18595,-0.130687,0.62995,-73.006958,93.855339,-39.699303,0.948218,0.223768,0.142631,-0.174548,-14.702775,155.646317,75.543648,0.436723,-0.37212,0.252997,0.778969,-19.70149,125.057152,90.245781,0.56098,-0.32586,0.140931,0.747834,-26.711119,100.393661,92.71299
0.475,0.762786,0.134294,0.560645,-0.292916,-76.441048,149.803741,-46.580772,-0.717501,-0.087842,-0.148918,0.674759,-75.470688,116.325439,-43.325722,-0.742352,-0.186849,-0.131755,0.629795,-72.985367,93.819519,-39.746902,0.948027,0.224204,0.143819,-0.174053,-14.762932,155.658005,75.524834,0.436231,-0.372212,0.253266,0.779113,-19.733166,125.063667,90.232979,0.561204,-0.325734,0.140729,0.747758,-26.752621,100.402473,92.686935
